M,P,exit_mode,horizon_hours,max_k,total_return,profit_factor,max_drawdown,n_trades,turnover,total_trade_cost,total_funding,n_bars,sharpe
336,0.99,horizon,72,5,-0.9224850652351414,0.9811865485595131,0.925822620782076,8166,915.0999999999999,0.9150999999999999,-0.40317179383333335,33390,-0.5136242391969009
336,0.99,horizon,72,10,-0.10351470084451675,1.0108278054735447,0.7154793059356199,28385,969.390476190476,0.969390476190476,-0.4553848033571428,33390,0.2918540786685989
336,0.99,horizon,168,3,-0.5363682327299135,1.005295151035463,0.9166617914028967,1279,320.6666666666667,0.32066666666666666,-0.37065225,33390,0.14320459566262328
336,0.99,horizon,168,5,-0.09851967252863292,1.0109278260598693,0.7066290348341163,3258,328.7333333333333,0.3287333333333333,-0.38303412316666663,33390,0.2988556477282266
336,0.99,horizon,168,10,-0.7763328261865557,0.9863666101889876,0.8369002906635569,11804,333.23968253968246,0.3332396825396825,-0.4342094555634921,33390,-0.37727691842905153
336,0.995,median,24,3,0.42873494119551414,1.0286576284181799,0.9489558525771095,13426,6747.0,6.747,-0.7697071766666668,33390,0.5562553649387483
336,0.995,median,24,5,-0.6169236785994221,1.008953191484588,0.9667168619761658,18994,7086.7,7.0866999999999996,-0.7551248133333334,33390,0.17724452333517746
336,0.995,median,24,10,-0.7080418800508916,1.0042608072705623,0.9699992486040647,26991,7228.696825396825,7.228696825396825,-0.7433731601865079,33390,0.08558033942652085
336,0.995,median,72,3,-0.22849037056695776,1.0190416602838162,0.9522462550273523,13127,6478.000000000001,6.478000000000001,-0.7960929633333333,33390,0.3849713666346954
336,0.995,median,72,5,-0.6030304898763041,1.0095177252626963,0.9599755528667439,18902,6838.233333333334,6.838233333333333,-0.7800100103333334,33390,0.19591760780770615
336,0.995,median,72,10,-0.7353189973762932,1.0032754675549498,0.9727352708878625,27222,6986.511111111111,6.986511111111112,-0.7696408054246031,33390,0.0685773528254709
336,0.995,median,168,3,-0.4252014171729468,1.0148945936476599,0.9632170140292613,13185,6454.000000000001,6.454000000000001,-0.8008631733333333,33390,0.3028401509254459
336,0.995,median,168,5,-0.6397324407401752,1.0081624965216445,0.9600959991917304,19007,6807.566666666667,6.807566666666667,-0.7816804538333333,33390,0.1687307110603574
336,0.995,median,168,10,-0.7504456021452173,1.0026163281655915,0.9729664327372082,27423,6947.5428571428565,6.947542857142857,-0.7724080830357143,33390,0.055013446678370756
336,0.995,horizon,24,3,-0.9952921307881555,0.9662563914064439,0.998443381176576,8717,2999.0,2.999,-0.7616927116666667,33390,-0.8047511782950928
336,0.995,horizon,24,5,-0.978243828536501,0.9737273297039294,0.9897720401482227,17218,3245.4666666666667,3.2454666666666667,-0.6775290101666667,33390,-0.6729292558019611
336,0.995,horizon,24,10,-0.9827630959912917,0.9689774090830314,0.9862968929839304,32622,3390.8785714285714,3.390878571428571,-0.6426435862023809,33390,-0.7991084193294163
336,0.995,horizon,72,3,-0.7518437397178628,0.9996110864665992,0.8814354247095973,3856,1090.0,1.09,-0.4923249849999999,33390,-0.01075273982611082
336,0.995,horizon,72,5,-0.6026351987383431,1.0021162096044949,0.8089094677212106,9454,1156.5666666666666,1.1565666666666665,-0.47708918566666664,33390,0.058120603998927205
336,0.995,horizon,72,10,-0.744973955132719,0.9941974433570712,0.8283524018247836,26254,1216.25873015873,1.2162587301587302,-0.5042562392103175,33390,-0.1590353070512693
336,0.995,horizon,168,3,-0.9666225984715004,0.9742216526096729,0.9821247036264883,1657,433.0,0.43300000000000005,-0.4658648716666666,33390,-0.7230310974046396
336,0.995,horizon,168,5,-0.9756478701236003,0.9639046823850743,0.9867509649676496,4112,440.29999999999995,0.44029999999999997,-0.46968376216666663,33390,-1.018329565059415
336,0.995,horizon,168,10,-0.9700806272651346,0.9600836855502557,0.9815573887260314,14520,467.8690476190475,0.4678690476190475,-0.5007468226428572,33390,-1.0924531181932005
336,0.998,median,24,3,-0.900356188579042,0.9476266345693033,0.9343860135493556,5189,2895.3333333333335,2.8953333333333333,-0.34245044,33390,-0.7550195053601163
336,0.998,median,24,5,-0.9397484525905603,0.9335306192237685,0.9600753116827568,7210,3020.6000000000004,3.0206,-0.35488564683333335,33390,-0.9846750044389971
336,0.998,median,24,10,-0.9588912047936324,0.9229924670652133,0.9727704596157151,10660,3077.5349206349206,3.0775349206349207,-0.36337906948412696,33390,-1.1514063045149794
336,0.998,median,72,3,-0.8881833290761966,0.9538000787975477,0.9330517035407934,5119,2792.666666666667,2.7926666666666664,-0.35757441500000003,33390,-0.6890850478487572
336,0.998,median,72,5,-0.9211575457738693,0.9448445052026677,0.950094394757598,7099,2909.0333333333333,2.9090333333333334,-0.3750397193333333,33390,-0.847162511004935
336,0.998,median,72,10,-0.9515429488338215,0.9316536893979845,0.968343217024987,10565,2974.270634920635,2.974270634920635,-0.38434935301190476,33390,-1.0638539397737383
