lookback_days,vol_norm,bucket,horizon_hours,count,mean,median,std,t_stat
14,True,4.0,4,81048,0.0002257651674095,0.0002068752809468,0.0233451068702174,2.7531648841502907
14,True,5.0,4,77469,0.0003780147184648,0.0002214348981399,0.0230987632630542,4.554953597843494
14,True,6.0,4,75333,0.0004239317642867,0.0002270340834917,0.0246826171692101,4.714084712988455
14,True,7.0,4,81407,0.0002513079526678,0.0,0.024353520983068,2.944254502230637
14,True,8.0,4,77249,0.0006368248446574,0.0,0.0272979429077217,6.483903017104974
14,True,9.0,4,89469,0.0009838469074362,-0.0002532301922739,0.0327722305346258,8.979617036290621
14,True,0.0,8,59515,0.0001518562642335,0.0004079967360259,0.0318517384476347,1.1630885755036484
14,True,1.0,8,81999,0.0005507822541133,0.0005636131359436,0.0316875924718736,4.977313237475823
14,True,2.0,8,76626,0.0005181442146549,0.0002892682483958,0.0318194689639008,4.507604498349239
14,True,3.0,8,80086,0.0006716908108217,0.0003867730932184,0.0322611392888816,5.892071495940206
14,True,4.0,8,81032,0.0005429821084692,0.0002478186837983,0.0324482647720696,4.763457794106922
14,True,5.0,8,77453,0.0007203384055648,0.0002512562814069,0.032430135149852,6.181685892928927
14,True,6.0,8,75321,0.0007901948332381,0.0001146851289604,0.0342949118311393,6.323572959183136
14,True,7.0,8,81391,0.0005158969508731,0.0,0.0333891601288687,4.40804133494486
14,True,8.0,8,77233,0.0013607279441396,0.0,0.0405996215557874,9.31431176962156
14,True,9.0,8,89453,0.0018979925944618,-0.0004787704092809,0.0448502182085785,12.656901733368896
14,True,0.0,24,59467,0.0004891933457588,0.0005764353239567,0.0546241576360025,2.183905303880824
14,True,1.0,24,81935,0.0014064212908158,0.0008180330848934,0.0563428587929979,7.145148878363667
14,True,2.0,24,76562,0.0018382579030093,0.000831543209592,0.055827992296308,9.110895528798851
14,True,3.0,24,80038,0.0024471233716678,0.0009494327360073,0.0761184405547179,9.09523859798618
14,True,4.0,24,80968,0.0018265825630443,0.0007918869179789,0.0564464084387943,9.207881031614829
